Stations_id,Bezugszeitraum,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
2,1981-2010,76,65,64,58,68,82,74,66,72,69,64,79,839
3,1981-2010,68,64,67,56,72,80,75,75,69,70,66,76,838
6,1981-2010,66,65,75,56,93,83,96,79,69,68,69,79,898
15,1981-2010,48,43,56,45,69,75,81,58,55,58,53,58,699
17,1981-2010,53,45,52,45,64,85,86,78,65,60,56,61,751
19,1981-2010,66,61,71,57,87,86,89,76,66,74,66,79,879
20,1981-2010,77,67,76,55,91,87,90,78,66,76,70,85,918
21,1981-2010,77,82,95,100,139,163,158,152,138,97,110,104,1413
22,1981-2010,67,62,79,75,97,99,100,79,86,97,80,86,1006
23,1981-2010,73,50,62,45,65,75,79,69,67,65,65,72,785
26,1981-2010,64,48,55,46,49,64,69,61,59,59,57,69,698
29,1981-2010,54,47,53,43,59,65,78,55,60,57,57,65,693
30,1981-2010,85,67,77,56,70,72,76,56,65,82,69,93,869
38,1981-2010,83,63,76,55,68,79,77,71,81,79,78,92,902
41,1981-2010,67,52,58,41,54,65,75,67,59,62,60,67,724
44,1981-2010,68,51,65,47,60,73,81,74,69,70,69,74,802
46,1981-2010,59,50,55,44,68,81,96,76,69,61,63,69,788
48,1981-2010,72,52,60,48,59,78,81,61,69,65,63,76,784
53,1981-2010,46,40,44,35,56,58,62,62,48,37,46,51,586
57,1981-2010,52,46,57,56,92,94,109,95,71,61,61,67,861
59,1981-2010,55,50,60,52,76,88,96,83,71,64,63,65,822
63,1981-2010,93,83,96,86,117,140,149,140,110,84,98,108,1305
64,1981-2010,39,31,40,33,55,54,62,59,52,35,45,46,551
73,1981-2010,57,50,62,49,74,93,104,87,66,55,58,66,821
77,1981-2010,80,58,67,53,65,70,72,70,62,65,66,83,811
78,1981-2010,85,63,73,51,57,74,78,76,73,76,74,84,862
79,1981-2010,44,43,53,50,62,68,62,55,61,49,50,50,646
84,1981-2010,53,48,59,49,69,85,94,78,68,64,64,67,799
91,1981-2010,52,42,52,45,68,63,67,59,58,58,55,57,677
100,1981-2010,43,36,42,39,52,52,65,61,40,31,44,50,554
103,1981-2010,51,43,53,40,68,75,89,73,58,52,52,59,712
104,1981-2010,138,100,111,76,88,94,92,83,104,105,110,129,1231
105,1981-2010,54,50,58,54,71,68,68,66,63,53,54,55,712
110,1981-2010,79,58,67,45,61,69,76,63,71,70,74,80,813
111,1981-2010,70,57,64,53,60,61,62,61,51,51,60,71,721
117,1981-2010,99,79,83,60,75,75,92,67,85,78,94,109,994
118,1981-2010,55,46,53,41,66,77,85,63,61,58,53,62,719
122,1981-2010,63,46,54,45,54,65,71,68,58,51,54,62,690
124,1981-2010,34,33,43,40,57,54,71,53,48,35,46,46,559
128,1981-2010,55,51,58,45,78,86,94,84,68,56,59,67,800
129,1981-2010,45,35,39,34,50,63,52,50,46,36,39,49,538
130,1981-2010,53,48,60,50,66,71,76,59,56,57,55,65,714
131,1981-2010,52,50,60,51,61,64,84,87,60,46,66,66,747
142,1981-2010,53,47,59,58,94,107,114,94,72,62,62,65,887
143,1981-2010,57,49,59,59,96,108,119,100,81,70,65,68,932
145,1981-2010,88,81,96,89,115,136,147,132,108,89,95,108,1284
146,1981-2010,99,100,116,104,136,157,167,147,117,100,116,135,1493
149,1981-2010,57,54,56,52,70,69,79,60,65,61,64,66,752
150,1981-2010,36,37,43,40,56,52,60,50,48,49,45,50,564
151,1981-2010,57,50,53,38,63,71,79,69,53,54,55,65,707
152,1981-2010,83,58,68,45,55,71,80,69,63,63,68,75,797
155,1981-2010,56,50,56,52,78,81,94,66,64,62,58,65,782
156,1981-2010,32,27,36,33,51,55,56,51,39,32,38,41,491
158,1981-2010,52,42,50,38,69,59,68,58,58,59,51,58,662
160,1981-2010,48,48,63,71,114,124,143,132,97,68,64,60,1030
161,1981-2010,46,39,48,44,57,59,67,52,53,45,50,47,607
162,1981-2010,82,72,105,84,120,159,169,167,124,82,91,94,1348
163,1981-2010,149,151,175,126,161,201,206,201,163,123,156,160,1973
164,1981-2010,35,30,38,32,54,59,61,60,42,32,38,39,521
165,1981-2010,40,36,43,32,47,58,57,57,42,36,42,48,538
167,1981-2010,46,34,42,35,51,61,59,60,53,42,47,48,576
170,1981-2010,47,36,48,40,52,52,64,68,47,35,49,52,589
182,1981-2010,51,39,45,37,52,59,59,61,45,43,48,52,590
183,1981-2010,39,27,33,31,43,58,54,61,56,53,48,44,546
187,1981-2010,87,73,82,63,78,85,96,85,83,77,84,89,979
189,1981-2010,60,46,50,43,59,62,68,49,57,59,55,63,669
192,1981-2010,54,47,60,51,74,94,101,89,71,61,59,69,828
194,1981-2010,47,43,50,42,62,64,64,60,64,50,57,51,653
198,1981-2010,29,23,35,34,60,49,64,48,43,30,37,39,490
199,1981-2010,61,46,53,44,55,70,72,62,59,54,55,62,691
201,1981-2010,81,63,82,65,68,86,81,69,80,77,77,83,912
202,1981-2010,51,49,56,47,70,66,65,62,58,56,58,60,697
203,1981-2010,126,121,165,155,170,228,249,225,183,137,161,154,2073
204,1981-2010,101,116,157,126,165,230,252,241,179,122,147,141,1977
205,1981-2010,130,132,186,141,183,238,257,254,183,129,162,161,2154
211,1981-2010,69,60,67,47,67,66,71,57,62,67,66,79,777
213,1981-2010,40,34,48,44,60,58,68,58,53,37,46,45,590
214,1981-2010,130,94,105,68,73,82,87,75,92,99,99,129,1132
215,1981-2010,148,101,116,77,72,90,96,80,104,114,112,144,1253
216,1981-2010,135,98,108,68,75,82,94,86,89,100,111,132,1177
217,1981-2010,57,57,70,79,119,141,160,146,102,75,77,73,1153
218,1981-2010,33,27,36,31,49,53,56,53,39,30,38,42,488
223,1981-2010,77,59,70,53,73,83,89,70,68,73,70,84,869
225,1981-2010,32,32,42,42,53,61,66,63,43,35,43,44,556
227,1981-2010,87,67,73,54,66,77,85,64,74,70,77,90,882
232,1981-2010,41,37,46,49,85,90,101,90,68,54,53,54,767
243,1981-2010,73,53,64,47,56,81,84,79,95,86,81,78,876
244,1981-2010,67,50,58,44,53,81,80,74,94,83,76,76,836
245,1981-2010,68,52,62,47,57,86,81,76,95,83,77,77,861
248,1981-2010,31,28,37,33,52,52,60,50,42,30,38,41,494
252,1981-2010,64,59,74,60,93,84,87,84,67,78,72,80,902
255,1981-2010,69,46,58,41,51,69,69,63,72,64,62,72,737
257,1981-2010,98,97,118,92,122,113,118,99,96,118,110,123,1302
259,1981-2010,55,57,65,79,103,96,94,96,90,79,66,86,966
260,1981-2010,41,32,44,43,59,58,64,60,48,42,43,46,580
262,1981-2010,73,63,71,55,85,88,97,89,73,69,73,81,916
270,1981-2010,157,135,146,101,112,100,114,101,101,141,128,173,1508
275,1981-2010,184,169,217,160,198,252,274,256,202,157,192,204,2464
277,1981-2010,50,46,59,68,108,98,93,85,69,75,56,64,871
279,1981-2010,58,54,70,66,102,96,99,83,69,74,69,73,911
282,1981-2010,47,39,50,41,65,63,78,55,57,52,53,56,655
287,1981-2010,35,27,40,29,55,55,60,54,42,34,40,42,513
289,1981-2010,78,57,68,45,62,78,80,82,67,71,73,78,838
290,1981-2010,50,40,49,39,53,61,58,62,50,43,49,56,610
292,1981-2010,69,48,61,39,51,67,67,71,63,63,59,68,726
293,1981-2010,78,57,74,61,64,80,80,79,70,68,67,84,862
296,1981-2010,73,51,63,43,56,81,78,74,77,71,71,70,808
298,1981-2010,50,37,46,36,55,71,59,73,62,60,56,53,657
303,1981-2010,41,35,41,35,52,52,68,63,46,34,46,45,556
309,1981-2010,90,64,68,45,67,65,69,63,61,64,74,86,816
310,1981-2010,124,87,105,67,74,85,77,74,95,102,108,125,1123
312,1981-2010,49,37,49,40,54,70,60,65,57,49,55,57,642
314,1981-2010,46,40,50,41,64,62,79,76,51,38,52,53,651
316,1981-2010,42,41,46,42,58,56,63,55,54,57,50,53,617
317,1981-2010,146,106,122,74,94,114,127,122,114,116,114,168,1417
318,1981-2010,74,71,101,100,138,173,193,179,128,90,98,90,1434
319,1981-2010,84,79,92,87,117,136,151,136,106,86,95,102,1271
320,1981-2010,63,50,57,46,64,74,91,62,63,57,62,68,757
323,1981-2010,50,45,59,43,79,77,81,58,57,63,57,65,734
325,1981-2010,80,55,70,55,65,73,75,75,81,71,73,81,852
330,1981-2010,106,93,104,65,92,78,82,72,80,100,91,116,1078
333,1981-2010,38,35,38,34,56,52,62,61,45,32,44,50,547
334,1981-2010,48,39,43,37,47,58,63,56,47,43,42,50,573
336,1981-2010,49,44,56,49,68,58,68,62,58,46,58,60,675
338,1981-2010,49,39,49,43,51,53,69,64,48,39,49,54,606
