,0,1,2,3,4,5
0,1,500,1,"[16.70828029922483, 13.868553757227511, 11.318761265247739]",18,"[(19.66748048024151, 13.70763285020259, 10.255750668200202), (17.241894987383603, 17.450619454634563, 11.982336240311415), (17.518626929335092, 10.662287015587191, 11.230259559034565), (20.185046423091915, 15.2264962674125, 14.033542356461785), (14.414073796460046, 11.874617928268126, 13.340524275922265), (15.504990729128854, 17.095866033685176, 14.600332348835215), (14.853137396184435, 10.618412896966946, 8.950511606720433), (15.5610547761724, 14.520326574317147, 15.765013811199585), (13.03876997982843, 11.091220636101303, 10.985933884998218), (18.36147867009802, 13.46595673647391, 8.40211455523821), (16.37178308725666, 16.762910942690212, 9.684552370298555), (19.045035031207416, 13.149444202557504, 15.101333199775258), (17.044257063947335, 11.951059506642586, 13.929228309967833), (20.65830972402022, 13.075508458916199, 13.16134618796188), (14.200326611569588, 14.53803916013269, 11.202833308136478), (14.57633673313276, 12.83378753547708, 8.647803630146877), (16.956533973045573, 11.369994633428695, 8.718758955194804), (19.252076927715986, 11.255904567197359, 12.435161957630692)]"
1,1,500,2,"[17.824286183314427, 20.263867851125152, 9.778457454229168]",15,"[(17.241894987383603, 17.450619454634563, 11.982336240311415), (18.72756046866427, 18.754550169380447, 12.910519566467242), (21.225373174193475, 17.10771428259479, 9.468255974942164), (16.206623935840966, 22.247507600460533, 10.584757929035629), (16.37178308725666, 16.762910942690212, 9.684552370298555), (16.125991094426148, 18.810519187938734, 9.521118298932219), (15.249718835119424, 19.891448799859614, 6.908360793407607), (20.12204229592246, 22.240528731683472, 8.876213978714226), (15.20885433614718, 19.410682347469873, 11.343217324835882), (17.55611004262072, 21.427680108771035, 7.091130848274567), (20.127575736594242, 22.345328465274207, 12.6143552712428), (22.6349085934094, 19.721330083619048, 8.8049203498855), (18.387447265886387, 19.198315174472988, 7.148808298828085), (20.085619067764537, 18.08132716597848, 7.271390375621), (17.498454654610498, 21.070590734674195, 12.341620201265254)]"
2,1,500,3,"[9.406143976123007, 11.226401417223862, 9.4282192927851]",17,"[(7.816140205285367, 9.255026338601022, 7.560844909516232), (10.513020951127135, 11.393119291716264, 5.0994865747947715), (8.158760105591512, 12.52122685675443, 12.141637603093452), (12.608172932890636, 9.949801431544708, 9.238803344051197), (10.04280874866686, 7.480804369434725, 9.614615781223012), (11.138583418648135, 11.900741124097722, 10.758676766588579), (7.9849671181794335, 13.779664701381083, 10.182475062529841), (7.69977616108985, 8.33067931653457, 9.521789606157684), (7.718616427559268, 10.150165909357563, 12.759693489317142), (7.89288692517149, 12.646720875592125, 7.246237363970902), (10.145817495236338, 10.250690821487797, 11.694428692239981), (9.179382434962168, 8.998289511404305, 6.021247124032736), (8.697013408378739, 8.381381019744618, 11.279871136000004), (6.653766597818299, 10.248593216973074, 9.063835650014765), (11.646216832119332, 12.80761984084087, 7.8676097424410845), (5.957112478019061, 12.002334626345652, 10.307107103611953), (9.890630813873338, 13.518656678560161, 9.297016268829527)]"
3,1,500,4,"[13.569180767089106, 8.782800719314455, 15.317873049490633]",15,"[(17.044866049414466, 9.972893608704279, 17.973472914135506), (11.315707985957507, 8.194893991523838, 13.57993241377889), (16.569810068391906, 9.986231945710102, 13.21230443953004), (14.650817381814633, 9.834485805693328, 18.767207328199458), (14.414073796460046, 11.874617928268126, 13.340524275922265), (14.07063013504656, 11.362428127000735, 16.33706227443417), (13.495942658776848, 8.434574945985837, 17.908653453636873), (15.995466832722634, 9.288209280912088, 11.281722822424095), (12.224282245320218, 12.381004103334293, 15.950341107713388), (13.292963516226116, 6.9511576313425065, 13.726639755742179), (9.85214563509197, 7.973155101348114, 15.763250863825625), (10.224691419758889, 11.555764334397328, 16.802554103047868), (13.03876997982843, 11.091220636101303, 10.985933884998218), (11.99221104622933, 5.696287382555187, 16.55758225943732), (16.155633795711815, 7.354680693645371, 15.561578281128819)]"
4,1,500,5,"[6.941439520993351, 20.02045329026919, 6.530043006871796]",14,"[(10.501419104169413, 19.541860529946323, 3.2802766236086165), (8.231792462316925, 16.108573645371063, 4.513164939778696), (3.9353704411448156, 18.46626803008536, 6.852564059789246), (8.535661530733021, 19.495343585034735, 10.446394776243082), (9.650168694524048, 17.726189243103306, 7.674917144986944), (8.824788818401045, 21.919593016473957, 5.398568067183219), (7.865572524670267, 23.31779260913582, 9.384228005415608), (7.054589649540936, 17.319158069216765, 7.6134052151051455), (10.312560075826235, 19.275106955259407, 6.499217903694461), (8.297038231406818, 21.231293438740426, 9.126172595857074), (5.6219223935647, 19.086943759427985, 9.881547863609741), (6.878282644017813, 16.856235504017068, 2.8097917739156792), (4.988105802233724, 19.783588900165295, 7.94851490064831), (8.638161639780105, 17.862305454733868, 1.9183748921948005)]"
5,1,500,6,"[9.45465988517179, 6.146984703590558, 2.75099327439276]",13,"[(13.747002155268284, 10.01280601202041, 0.9910048063323277), (11.921082672146346, 14.537493976776346, 0.35245583809883235), (6.241154534142192, 6.4141502316648085, 5.088038589296918), (10.78225344587523, 2.0427352628060294, 6.653983561766031), (11.596828372013855, 7.867129562174245, 3.9891762485122584), (10.045275844787438, 6.23601278319726, 5.041668589298231), (9.753987356189082, 8.608595181906187, 3.2218255971894654), (5.8301450859221235, 8.812538459972513, 3.785618676500642), (7.199180776202523, 11.816459480116201, 2.09039930986656), (11.26699939180856, 4.358679958570106, 3.673038351702487), (8.090009988611293, 4.827821457841861, 5.975585110262062), (13.030229614112601, 6.453314553983178, 3.6486703651993695), (5.292581811097379, 11.966918016515347, 2.951012373992139)]"
6,1,500,7,"[1.9911999167052312, 12.412597037180841, 11.99622717507754]",12,"[(5.957112478019061, 12.002334626345652, 10.307107103611953), (4.422550537802829, 10.651938569012968, 12.70571292803571), (1.2417589027430247, 13.71987848395289, 10.65695164108774), (0.3097615712303803, 11.069346045863652, 13.490750267053237), (3.271433290029431, 10.288817234253582, 10.688028046246627), (1.94380688928175, 12.050696752394389, 8.757051827426588), (3.3540999028779943, 9.873082660894005, 14.691653727298013), (1.1121624399874739, 9.931524163978027, 11.965316219505851), (5.220320458149585, 12.709445512471602, 12.673200405847252), (1.0216367172286567, 15.276961651057729, 14.845826954604247), (2.903621321235459, 13.769915528528928, 13.890841641925055), (3.856680560294712, 14.575990646960657, 10.213226248506961)]"
7,1,500,8,"[14.853137396184435, 10.618412896966946, 8.950511606720433]",13,"[(16.70828029922483, 13.868553757227511, 11.318761265247739), (13.65685056198016, 11.048824864161592, 5.017540741661802), (17.139653149037702, 9.156787060988693, 7.480438788582672), (16.712563332026047, 9.682526751788824, 4.921354864815775), (12.608172932890636, 9.949801431544708, 9.238803344051197), (17.518626929335092, 10.662287015587191, 11.230259559034565), (12.667002058636939, 7.785378472029135, 6.630484923285971), (15.995466832722634, 9.288209280912088, 11.281722822424095), (13.17097717907879, 11.471020365094494, 7.743927492066684), (13.03876997982843, 11.091220636101303, 10.985933884998218), (15.47002847557345, 8.053766190697301, 9.291333957417832), (14.57633673313276, 12.83378753547708, 8.647803630146877), (16.956533973045573, 11.369994633428695, 8.718758955194804)]"
8,1,500,9,"[17.216869236489284, 1.6986275108414297, 14.895239843424187]",9,"[(16.310870175773236, 4.149484426653199, 13.980805939202742), (20.392008436006705, 2.597396344439649, 16.423727286262114), (19.116104686067498, 1.8836131426156757, 13.929698987328424), (16.097503076210295, 2.435586797927072, 16.811861212497146), (14.27474479393727, 1.7966485155637635, 12.79973843024839), (17.063638884034532, 2.625246131839317, 11.30105895947244), (18.88426647120634, 4.20424186232913, 15.017318280741204), (14.573561740655746, 1.036929259015127, 16.321427382979884), (15.278622490828747, 0.5914171772567535, 14.147440548904058)]"
9,1,500,10,"[14.437914518766966, 25.58320671673563, 13.391193753593376]",12,"[(11.919980979306919, 26.25515971196489, 13.181417280914594), (16.463870235230345, 24.125620989555124, 11.881954163983686), (19.172679561888057, 24.089434784557742, 15.395517173866324), (16.14014144696408, 25.241072792774222, 17.128740629204195), (11.92092603181465, 23.497643872190125, 13.424265823445541), (16.947363529049465, 24.513661649378253, 7.3610091326044955), (19.372960758550814, 24.46589182591149, 13.025501557586068), (14.300395204202719, 22.924282314512926, 13.164848268351227), (14.630499902361992, 24.570449305111214, 11.097985079011703), (11.14184865772102, 25.437684447772625, 8.414308727381853), (16.926047771248115, 23.028151381781267, 13.6359700527435), (14.664747334961929, 24.54086829249916, 15.580993645188208)]"
