20140508_T47DH2B-DrugScreen_Helena9-DSAB05TS_TS_DR0001CH0001SP0001,,Sat 9 Aug 2014 21:38:02,,,,,,,,,,,,
,,,,,,,,,,,,,,
ObjectID,Label,Centroid,MeanIntensity,StandardDeviationIntensity,MaxIntensity,MinIntensity,TotalIntensity,Area,Count,EquivalentDiskRadius,Elongation,Eccentricity,Circularity,BoundingBox
5,5,{448.72869022869025. 497.8035343035343},0.01562619,0.000931721,0.017959869,0.013336385,7.516197452,484.625,481,12.37364357,0.106690912,0.449442848,0.936559948,{{435.. 485.}. {463.. 509.}}
6,6,{583.3871165644172. 490.18957055214725},0.011809266,0.000430682,0.01295491,0.010650797,9.624551766,819.375,815,16.1065998,0.101290289,0.438544017,0.941424452,{{566.. 474.}. {600.. 506.}}
7,7,{186.3943661971831. 478.2588028169014},0.014046548,0.000527996,0.016128786,0.012542916,7.978439002,571.75,568,13.44618962,0.111788678,0.45943514,0.977535734,{{174.. 464.}. {200.. 492.}}
8,8,{267.6122047244094. 475.48228346456693},0.014450234,0.00083672,0.016830701,0.012512398,7.3407187,512.25,508,12.71618741,0.544601012,0.89028746,0.798316931,{{248.. 459.}. {282.. 487.}}
9,9,{535.6371841155235. 472.5667870036101},0.011999238,0.000430933,0.013061723,0.010849165,6.64757763,556.875,554,13.27944566,0.283090748,0.697166497,0.921684127,{{524.. 457.}. {547.. 488.}}
11,11,{83.59574468085107. 460.04255319148933},0.013711936,0.000525546,0.01513695,0.012237736,2.5778439,189,188,7.735777828,0.392051438,0.793976414,0.911685324,{{75.. 454.}. {93.. 467.}}
12,12,{625.704938271605. 449.7320987654321},0.012742263,0.000449244,0.013794156,0.011337453,5.160616464,407.625,405,11.35409635,0.197412438,0.596534329,0.918163225,{{615.. 437.}. {637.. 462.}}
13,13,{391.2029411764706. 437.6617647058823},0.01369403,0.000698744,0.015609979,0.011993591,4.655970092,342.75,340,10.4031419,0.338417177,0.749872102,0.894028941,{{378.. 428.}. {404.. 446.}}
14,14,{312.9381338742393. 434.6926977687627},0.013598327,0.000792033,0.015548943,0.011520562,6.703974975,496.375,493,12.52704171,0.378047159,0.7830547,0.892564786,{{303.. 419.}. {323.. 451.}}
15,15,{551.75. 414.6264367816092},0.013726192,0.000480942,0.015182727,0.012390326,4.776714733,350.625,348,10.52482021,0.132974712,0.498264137,0.976822389,{{542.. 404.}. {562.. 426.}}
16,16,{182.86402569593147. 410.1509635974304},0.014605727,0.000549528,0.015960937,0.013000687,6.820874342,470.5,467,12.19224003,0.114679535,0.46498137,0.96241266,{{171.. 397.}. {196.. 422.}}
17,17,{426.71067415730334. 400.70786516853934},0.014757403,0.000744104,0.016083009,0.011932555,5.253635462,358.375,356,10.64510777,0.066459971,0.358473171,0.97117945,{{416.. 390.}. {437.. 411.}}
18,18,{674.656862745098. 397.0098039215686},0.013177512,0.000358297,0.013977264,0.012176699,2.688212406,206.125,204,8.058239062,0.190938958,0.587724621,0.936896403,{{667.. 388.}. {683.. 406.}}
19,19,{320.51162790697674. 381.9922480620155},0.018009372,0.001374017,0.020523384,0.014999619,4.646417945,260.625,258,9.062226583,0.603173046,0.917893441,0.752190074,{{306.. 375.}. {335.. 389.}}
20,20,{517.9803370786517. 376.5716292134831},0.012566555,0.000378411,0.01356527,0.011413748,8.947386893,715.875,712,15.05445578,0.062966453,0.349239363,0.947409331,{{503.. 361.}. {534.. 391.}}
22,22,{450.6508875739645. 370.26331360946745},0.012518899,0.000530268,0.013580529,0.011322194,4.231387808,340.5,338,10.37249929,0.497274919,0.864446351,0.836937034,{{438.. 358.}. {461.. 382.}}
23,23,{138.77799736495388. 370.8254281949934},0.018240944,0.000949424,0.021149004,0.014740215,13.84487678,763.375,759,15.54339743,0.106248418,0.448562269,0.962211589,{{124.. 355.}. {154.. 388.}}
24,24,{243.50695652173914. 366.0304347826087},0.015667937,0.000668653,0.01762417,0.013534752,9.009063859,579.25,575,13.52879095,0.159655733,0.542053053,0.965040343,{{229.. 352.}. {258.. 379.}}
25,25,{379.33430799220275. 364.0477582846004},0.012575754,0.000435801,0.014007782,0.011139086,6.451361868,516.75,513,12.77861384,0.160964982,0.54407742,0.929003086,{{367.. 349.}. {391.. 378.}}
26,26,{633.9547038327526. 347.6411149825784},0.018697353,0.0010006,0.020584421,0.015472648,10.73228046,577.625,574,13.51702166,0.07701733,0.384841515,0.976069545,{{620.. 334.}. {647.. 361.}}
28,28,{478.704628501827. 334.19305724725945},0.011998572,0.000368206,0.013092241,0.010971237,9.850827802,825.625,821,16.16577918,0.092827141,0.42075813,0.904266822,{{460.. 316.}. {494.. 350.}}
29,29,{197.56311637080867. 327.7011834319527},0.013503061,0.00042158,0.014770733,0.012405585,6.846051728,510.25,507,12.70366531,0.087553437,0.409195882,0.964358036,{{185.. 315.}. {210.. 341.}}
